Cruise,Year,Month,Day,Local time (GMT+7),Area,Station,Lat,Lon,Sample_ID,Total Depth (m),Sampling level,Sampling depth (m),Sample_Type2,D50,OC %,N %,Sed_Temp (°C),Sed_pH,Sed_ORP (mV),Wind speed (m/s),Wind direction (toward-azimuth) angle,Wind direction,Air temperature (๐C),Air pressure (mbar),Sea state,Sea state remark,Cloud cover,Transparency (m),Water temperature_meter (_deg_C),Water temperature_ctd (_deg_C),Water temperature_AAQ (_deg_C),Salinity_meter (psu),Salinity_ctd (psu),Salinity_AAQ (psu),Water_Cond. (mS/cm),Density (kg/m3),DO_Titrate (mg/L),DO_meter (mg/L),DO_CTD (mg/L),DO_AAQ (mg/L),DO_CTD-Corrected (mg/L),TSS (mg/L),Chl-a_spectro (ug/L),Chl-a_ctd (ug/L),Chl-a_AAQ (ug/L),pH,pH_CTD,pH_AAQ,OA,Phytoplankton,Zooplankton,Remark,TA (umol/kgSW),pH@25C (Spectrophotometric method),"pH 
(TOTscale)",pCO2 out (uatm),HCO3 out (umol/kgSW),CO3 out (umol/kgSW),CO2 out (umol/kgSW),"Ca
saturation","Ar
saturation","DIC est.
(umol/kgSW)",Ave,SD,Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),Ave,SD,Saturation (nmol/KgSW),Saturation anomaly (%),pN2Oair,Phosphate (uM),Silicate (uM),Nitrite (uM),Ammonia (uM),Nitrate (uM),DOC,"TDN
(uM)","TDP
(uM)","Mn
(nM)","Mo
(nM)","U
(nM)","V
(nM)","Exchangeable Ammonia
(ug/g)","Exchangeable Nitrate
(ug/g)","Exchangeable Silicate
(ug/g)","Exchangeable Phosphate
(ug/g)","Total Phosphorus
(ug/g)","Total Silicate
(ug/g)","Total Nitrogen
(ug/g)","Calcium carbonate
(ug/g)",Total Organic Content (%),Clay,Silt,Sand,Sulfide (umol-S/g),Fraction-1_NH3,Fraction-1_NO2-,Fraction-1_N_Sum,Fraction-2_NH3,Fraction-2_NO2-,Fraction-2_N_Sum,Fraction-3_NH3,Fraction-3_NO2-,Fraction-3_N_Sum,Fraction-4_NH3,Fraction-4_NO2-,Fraction-4_N_Sum,Fraction-1_Phosphorus,Fraction-2_Phosphorus,Fraction-3_Phosphorus,Fraction-4_Phosphorus
GoT,2022,11,19,9:53,,9,13.2074,100.1323,,15.7,M,7.5,,,,,,,,,,,,,,,,3.8,29.00,28.70,,29.40,31.20,,,,3.71,,3.144,,4.150872667,12.8,,,,7.93,,,,,,,2113.281726,7.814429333,7.761316449,811.9909618,1820.177382,118.7558067,21.40886295,2.971401756,1.9641978,1960.342051,,,,,,,,,,,,0.323,39.623,4.211,2.141,2.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,9:53,,9,13.2074,100.1323,,15.7,B,14,,,,,,,,,,,,,,,,3.8,28.80,28.68,,30.40,31.24,,,,3.88,,3.029,,4.056308231,11.95,,,,7.92,,,,,,,2100.412417,7.846476261,7.792989634,741.5648609,1789.63259,125.7043907,19.55575062,3.141270303,2.076781198,1934.892731,,,,,,,,,,,,0.355,37.273,5.139,1.856,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,9:29,,10,13.1658,100.1345,,16.5,S,1,,,,,,,,,,,,,,,,4,29.40,,,27.30,,,,,,,,,,,,,,8.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,9:29,,10,13.1658,100.1345,,16.5,M,8,,,,,,,,,,,,,,,,4,29.40,,,27.90,,,,,,,,,,,,,,8.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,9:29,,10,13.1658,100.1345,,16.5,B,15,,,,,,,,,,,,,,,,4,28.80,,,30.30,,,,,,,,,,,,,,7.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,8:42,,11,13.1355,100.1362,,16.1,S,1,,,,,,,,,,,,,,,,5.5,29.10,29.31,,27.70,28.27,,,,6.86,,6.239,,6.695889454,9.15,0.2109145,,,8.15,,,,,,,2146.438355,8.050934194,7.98664917,464.5852143,1713.220956,178.0427962,12.25178983,4.578204704,3.001795463,1903.515542,,,,,,,,,,,,0.258,44.179,0.286,1.856,1.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,8:42,,11,13.1355,100.1362,,16.1,M,8,,,,,,,,,,,,,,,,5.5,28.70,28.69,,30.00,31.07,,,,4,,3.116,,4.127848283,7.4,,,,7.93,,,,,,,2111.693908,7.857576011,7.803953867,725.899257,1794.013401,128.7165111,19.15192892,3.223789588,2.130238914,1941.881841,,,,,,,,,,,,0.129,35.564,1.927,2.213,1.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,8:42,,11,13.1355,100.1362,,16.1,B,15,,,,,,,,,,,,,,,,5.5,28.60,28.68,,30.40,31.14,,,,3.81,,2.977,,4.01354866,16.3,,,,7.92,,,,,,,2099.665442,7.846572147,7.793084884,741.7051097,1789.667424,125.4303476,19.56992853,3.136548225,2.073073167,1934.6677,,,,,,,,,,,,0.291,34.71,4.425,4.069,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,6:44,,12,13.0345,100.1330,,15.2,S,1,,,,,,,,,,,,,,,,4.6,28.90,29.17,,28.40,29.06,,,,5.365,,4.38,,5.167234783,10.3,0.2099105,,,7.98,,,,,,,2131.517298,7.873424782,7.813159871,730.5347351,1817.368274,128.660952,19.25302639,3.284998237,2.15933638,1965.282252,,,,,,,,,,,,0.355,52.83,1.57,4.568,1.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GoT,2022,11,19,6:44,,12,13.0345,100.1330,,15.2,M,7.5,,,,,,,,,,,,,,,,4.6,28.70,28.72,,29.60,31.33,,,,3.76,,3.055,,4.077688016,10.05,,,,7.94,,,,,,,2111.117561,7.839167932,7.785409299,760.4060676,1802.719636,124.8351343,20.02466894,3.120261736,2.063547168,1947.57944,,,,,,,,,,,,0.355,33.784,3.498,2.641,2.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
